epoch,train_loss,val_loss,train_acc,val_acc
1,1.5954008697102409,1.2201000982081596,50.1783930355359,59.77318212141428
2,1.124546280631295,1.0731125295042911,64.97787926359355,62.241494329553035
3,0.8794406577763993,0.8797648601368159,68.70272584558299,67.31154102735157
4,0.7540486357820108,0.8354906785718754,70.9005280433852,68.31220813875916
5,0.6914876109695952,0.768199494634174,71.88525759954332,70.84723148765843
6,0.5921047020395728,0.7208197427201541,74.88226059654632,71.78118745830554
7,0.5561998363430632,0.6722968169814193,75.95261880976166,73.18212141427618
8,0.5196298842884699,0.6489471798741555,77.47966319394891,74.71647765176785
9,0.4576031467969703,0.6539509589867722,78.92107892107893,74.91661107404937
10,0.42914788447723456,0.65359751191276,78.62137862137862,74.64976651100734
11,0.37976970828020135,0.6001627650994154,80.63365206222349,76.78452301534357
12,0.3791714539107845,0.5787619322916123,81.13315256172399,77.78519012675117
13,0.33912163557740205,0.5702363842125333,82.3319537605252,77.9853235490327
14,0.3009674723017006,0.5606163700395143,83.70201227344084,79.25283522348232
15,0.2826235659481099,0.5699998539157356,84.4155844155844,77.78519012675117
16,0.281086106568392,0.5604658625259489,84.51548451548452,78.65243495663776
17,0.24693672258401028,0.5585663486433634,85.55729984301414,79.65310206804537
18,0.2408676749632024,0.5193411872099049,85.99971457114314,79.71981320880587
19,0.2113729246025574,0.5055733686928116,87.3126873126873,80.85390260173449
20,0.20131114999714092,0.4820359152424248,88.0690737833595,82.45496997998666
21,0.1850797906018229,0.5019710240879403,88.69701726844585,81.52101400933957
22,0.17500743709703442,0.5253754774676394,89.55330383901813,80.18679119412941
23,0.16875092153782612,0.4898579555642533,89.4676751819609,82.52168112074717
24,0.15174451947586504,0.48356899621090627,90.22406165263308,82.65510340226818
25,0.14531192648690658,0.49369467541406437,91.32296275153418,82.65510340226818
26,0.12407589823632807,0.48927187016997997,91.49422006564863,82.92194796531021
27,0.12488729642302465,0.49887800876739585,91.95090623662053,83.18879252835224
28,0.1152294154471791,0.48687134491275996,92.45040673612102,82.98865910607071
29,0.11214262405092747,0.5046927333076927,93.34950763522191,83.45563709139427
30,0.10576236928957104,0.4987384159617459,93.22106464963608,84.12274849899933
